locality;CAT_sp
Ohu1;Choreutis lutescens
Ohu1;Choreutis lutescens
Ohu1;Talanga excelsalis
Ohu1;Choreutis lutescens
Ohu1;Brenthia JR37
Ohu1;Brenthia JR34
Ohu1;Brenthia JR37
Ohu1;Brenthia JR37
Ohu1;Brenthia JR37
Ohu1;Brenthia JR54
Ohu1;Pseudocera nr. trissosticha
Ohu1;Pseudocera nr. trissosticha
Ohu1;Pseudocera nr. trissosticha
Ohu1;Pseudocera nr. trissosticha
Ohu1;Pseudocera sp. AAB1481
Ohu1;Pseudocera nr. trissosticha
Ohu1;Agrotera ignepictoides
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Meekiaria sp. BOLD:AAA3374
Ohu1;Talanga polyzonalis
Ohu1;Choreutis JR09
Ohu1;Choreutis JR09
Ohu1;Ophiorrhabda deceptor
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Chamaita pr. metamelaena
Ohu1;Choreutis cf. anthorma
Ohu1;Brenthia JR34
Ohu1;Dichomeris sp. XXXX068
Ohu1;Choreutis cf. anthorma
Ohu1;Brenthia JR37
Ohu1;Brenthia sp. AAI3835
Ohu1;Dichomeris sp. XXXX068
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR34
Ohu1;Brenthia sp. AAF6821
Ohu1;Brenthia sp. AAF6821
Ohu1;Agrotera ignepictoides
Ohu1;Dichomeris n. sp. nr. ochreoviridella
Ohu1;Dichomeris sp. XXXX068
Ohu1;Dichomeris sp. XXXX068
Ohu1;Dichomeris sp. XXXX068
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis JR5
Ohu1;Mellea ordinaria complex
Ohu1;Mellea ramifera
Ohu1;Meekiaria sp. BOLD:AAA3374
Ohu1;Meekiaria sp. BOLD:AAA3374
Ohu1;Meekiaria sp. BOLD:AAA3374
Ohu1;Coelorhyncidia nitidalis
Ohu1;Meekiaria sp. BOLD:AAA3374
Ohu1;Adoxophyes thoracica
Ohu1;Lambula sp. USNM5
Ohu1;Agriophara sp. AAD4602
Ohu1;Agrotera genuflexa
Ohu1;Talanga excelsalis
Ohu1;Adoxophyes n. sp. nr. orana
Ohu1;Mellea ramifera
Ohu1;Dichomeris sp. XXXX068
Ohu1;Talanga polyzonalis
Ohu1;Talanga polyzonalis
Ohu1;Choreutis basalis
Ohu1;Choreutis cf. anthorma
Ohu1;Brenthia JR22
Ohu1;Talanga polyzonalis
Ohu1;Brenthia JR34
Ohu1;Brenthia JR34
Ohu1;Brenthia JR62
Ohu1;Ophiorrhabda deceptor
Ohu1;Choreutis cf. anthorma
Ohu1;Ophiorrhabda deceptor
Ohu1;Talanga excelsalis
Ohu1;Choreutis cf. anthorma
Ohu1;Chamaita pr. metamelaena
Ohu1;Mellea ordinaria complex
Ohu1;Mellea nitida
Ohu1;Mellea nitida
Ohu1;Mellea ordinaria complex
Ohu1;Mellea ordinaria complex
Ohu1;Mellea nitida
Ohu1;Jodis albifusa
Ohu1;Dichomeris sp. XXXX068
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis basalis
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Brenthia JR54
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Choreutis cf. anthorma
Ohu1;Brenthia JR54
Ohu1;Chamaita pr. metamelaena
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Dichomeris sp. XXXX068
Ohu1;Unadophanes trissomita
Ohu1;Unadophanes trissomita
Ohu1;Chrysocraspeda nr. inundata
Ohu1;Chrysocraspeda nr. inundata
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR32
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Choreutis JR5
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Brenthia JR54
Ohu1;Choreutis JR5
