Locality_A;Locality_B;hodnota;guild;variable;distance
Elem;Elem;0.0000000;GENERAL;Elem;0.00000
Morox;Elem;0.7312500;GENERAL;Elem;90.77473
Niksek;Elem;0.7446103;GENERAL;Elem;154.00610
Ohu1;Elem;0.7398374;GENERAL;Elem;201.25834
Ohu2;Elem;0.6517647;GENERAL;Elem;201.25834
Utai;Elem;0.6504854;GENERAL;Elem;303.43180
Wamangu;Elem;0.7195402;GENERAL;Elem;117.57398
Wanang;Elem;0.7461538;GENERAL;Elem;147.58782
Yapsiei;Elem;0.8025316;GENERAL;Elem;313.48307
Elem;Morox;0.7312500;GENERAL;Morox;90.77473
Morox;Morox;0.0000000;GENERAL;Morox;0.00000
Niksek;Morox;0.7736670;GENERAL;Morox;189.60627
Ohu1;Morox;0.7765843;GENERAL;Morox;221.28152
Ohu2;Morox;0.8137652;GENERAL;Morox;221.28152
Utai;Morox;0.7160048;GENERAL;Morox;287.91583
Wamangu;Morox;0.7177097;GENERAL;Morox;55.84802
Wanang;Morox;0.8020833;GENERAL;Morox;180.10385
Yapsiei;Morox;0.7580872;GENERAL;Morox;340.10275
Elem;Niksek;0.7446103;GENERAL;Niksek;154.00610
Morox;Niksek;0.7736670;GENERAL;Niksek;189.60627
Niksek;Niksek;0.0000000;GENERAL;Niksek;0.00000
Ohu1;Niksek;0.8434004;GENERAL;Niksek;354.29027
Ohu2;Niksek;0.8607955;GENERAL;Niksek;354.29027
Utai;Niksek;0.6649874;GENERAL;Niksek;179.56468
Wamangu;Niksek;0.7815126;GENERAL;Niksek;160.04725
Wanang;Niksek;0.8552876;GENERAL;Niksek;299.53856
Yapsiei;Niksek;0.7448071;GENERAL;Niksek;159.52812
Elem;Ohu1;0.7398374;GENERAL;Ohu1;201.25834
Morox;Ohu1;0.7765843;GENERAL;Ohu1;221.28152
Niksek;Ohu1;0.8434004;GENERAL;Ohu1;354.29027
Ohu1;Ohu1;0.0000000;GENERAL;Ohu1;0.00000
Ohu2;Ohu1;0.3603352;GENERAL;Ohu1;0.00000
Utai;Ohu1;0.8312655;GENERAL;Ohu1;498.68134
Wamangu;Ohu1;0.7245179;GENERAL;Ohu1;276.38308
Wanang;Ohu1;0.7822142;GENERAL;Ohu1;55.59633
Yapsiei;Ohu1;0.8892128;GENERAL;Ohu1;513.01515
Elem;Ohu2;0.6517647;GENERAL;Ohu2;201.25834
Morox;Ohu2;0.8137652;GENERAL;Ohu2;221.28152
Niksek;Ohu2;0.8607955;GENERAL;Ohu2;354.29027
Ohu1;Ohu2;0.3603352;GENERAL;Ohu2;0.00000
Ohu2;Ohu2;0.0000000;GENERAL;Ohu2;0.00000
Utai;Ohu2;0.8246753;GENERAL;Ohu2;498.68134
Wamangu;Ohu2;0.7350746;GENERAL;Ohu2;276.38308
Wanang;Ohu2;0.7451524;GENERAL;Ohu2;55.59633
Yapsiei;Ohu2;0.8870968;GENERAL;Ohu2;513.01515
Elem;Utai;0.6504854;GENERAL;Utai;303.43180
Morox;Utai;0.7160048;GENERAL;Utai;287.91583
Niksek;Utai;0.6649874;GENERAL;Utai;179.56468
